Category,CptNo,Range,Center,Latitude,Longitude,Species,Date,Quantity(kg)
cpt,Gj nbd-1592,Rajpipla,Rajpipla,21.799353,73.554798,Boswellia serrata - સલાઈ ગુગળ,2026-04-24,1.3
cpt,Gj nbd-912,Rajpipla,Rajpipla,21.79943,73.555504,Acacia catechu - ખેર,2026-04-24,1.9
cpt,Gj nbd-931,Rajpipla,Rajpipla,21.773728,73.496966,Lannea coromandelica - મોદળ,2026-04-29,4
cpt,540,Rajpipla,Shivrajpur,22.429636,73.595254,Aegle marmelos - બીલી,2026-04-30,1.5
cpt,Gj nbd-126,Rajpipla,Rajpipla,21.858537,73.517199,Sapindus trifoliatus - અરીઠા,2026-05-04,14.2
cpt,Gj nbd-659,Rajpipla,Rajpipla,21.837665,73.697223,"Cochlospermum religiousum - ગલગલ, ગનેરી",2026-05-02,0.5
cpt,Gj nbd-1540,Rajpipla,Rajpipla,21.833114,73.696842,"Cochlospermum religiousum - ગલગલ, ગનેરી",2026-05-02,0.8
cpt,Gj nbd-1541,Rajpipla,Rajpipla,21.833187,73.696905,"Cochlospermum religiousum - ગલગલ, ગનેરી",2026-05-02,0.75
cpt,Gj nbd-830,Rajpipla,Rajpipla,21.840274,73.69725,Lannea coromandelica - મોદળ,2026-05-02,3
cpt,Gj nbd-1405,Rajpipla,Rajpipla,21.841836,73.696431,Cassine albens - ભુટાકો,2026-05-02,1.2
cpt,Gj nbd-1553,Rajpipla,Rajpipla,21.816054,73.565099,Aegle marmelos - બીલી,2026-04-24,11.4
cpt,Gj nbd-1552,Rajpipla,Rajpipla,21.815938,73.565226,Aegle marmelos - બીલી,2026-04-24,8
cpt,Gj nbd-1459,Rajpipla,Rajpipla,21.815938,73.565226,"Dolichandron falcata - મટરસીંગ, મેઢસીંગ",2026-04-24,12
cpt,Gj nbd-1015,Rajpipla,Rajpipla,21.799224,73.554431,Aegle marmelos - બીલી,2026-04-24,9.8
cpt,Gj nbd-1590,Rajpipla,Rajpipla,21.799111,73.554508,Aegle marmelos - બીલી,2026-04-24,7.9
cpt,Gj nbd-1254,Rajpipla,Rajpipla,21.642685,73.571353,Sterculia urens - કડાયો,2026-04-29,2.8
cpt,Gj nbd-310,Rajpipla,Rajpipla,21.85823,73.524607,Sterculia urens - કડાયો,2026-05-04,3.8
cpt,Gj nbd-311,Rajpipla,Rajpipla,21.857485,73.518912,Sterculia urens - કડાયો,2026-05-04,4.2
cpt,Gj nbd-903,Rajpipla,Rajpipla,21.807818,73.550784,Acacia catechu - ખેર,2026-04-24,0.6
cpt,Gj nbd-914,Rajpipla,Rajpipla,21.818557,73.545965,Ailanthus excelsa - અરડૂસો,2026-04-24,0.5
cpt,Gj nbd-104,Rajpipla,Rajpipla,21.511018,73.666744,Sterculia urens - કડાયો,2026-04-29,3
cpt,Gj nbd-107,Rajpipla,Rajpipla,21.511202,73.666935,Sterculia urens - કડાયો,2026-04-29,2.2
cpt,Gj nbd-1410,Rajpipla,Rajpipla,21.81736,73.385803,Cordia dichotoma - મોટા ગુંદા,2026-05-07,24
cpt,BCR 265,Rajpipla,Motiya,21.585288,73.426858,Acacia catechu - ખેર,2026-05-02,2
cpt,BCR 264,Rajpipla,Motiya,21.58503,73.426128,Acacia catechu - ખેર,2026-05-02,2.5
cpt,BCR 768,Rajpipla,Motiya,21.728215,73.195397,Bridelia squamosa - એકલકાંટો,2026-01-24,8
cpt,NBD 208,Rajpipla,Motiya,21.654924,73.862967,Terminalia chebula - હરડે,2026-04-11,12.4
cpt,BCR 749,Rajpipla,Motiya,21.583883,73.41481,Emblica officinalis - આમળા,2026-03-24,0.23
cpt,BCR 305,Rajpipla,Motiya,21.579674,73.411238,Acacia catechu - ખેર,2026-02-21,2.4
cpt,BCR 531,Rajpipla,Motiya,21.58535,73.414285,"Dolichandron falcata - મટરસીંગ, મેઢસીંગ",2026-03-26,1.3
cpt,BCR 538,Rajpipla,Motiya,21.560147,73.40087,"Dolichandron falcata - મટરસીંગ, મેઢસીંગ",2026-03-26,2
cpt,BCR 371,Rajpipla,Motiya,21.583893,73.41375,Terminalia arjuna - અર્જુન સાદડ,2026-04-15,6
cpt,BCR 498,Rajpipla,Motiya,21.58359,73.41476,Terminalia arjuna - અર્જુન સાદડ,2026-04-15,10
cpt,BCR 423,Rajpipla,Motiya,21.584032,73.414069,Terminalia arjuna - અર્જુન સાદડ,2026-04-15,8
cpt,NBD 1361,Rajpipla,Motiya,21.655304,73.86221,Terminalia chebula - હરડે,2026-04-11,14
cpt,NBD 1364,Rajpipla,Motiya,21.654953,73.862543,Terminalia chebula - હરડે,2026-04-11,13.5
